,level_0,index,24031_cum_per100k,24037_cum_per100k,24013_cum_per100k,24510_cum_per100k,24027_cum_per100k,24033_cum_per100k,24017_cum_per100k,24021_cum_per100k,24001_cum_per100k,24005_cum_per100k,24047_cum_per100k,24003_cum_per100k,24043_cum_per100k,24009_cum_per100k,24025_cum_per100k,24015_cum_per100k,24045_cum_per100k,24023_cum_per100k,24019_cum_per100k,24011_cum_per100k,24039_cum_per100k,24041_cum_per100k,24035_cum_per100k,24029_cum_per100k,24031_new_per100k,24037_new_per100k,24013_new_per100k,24510_new_per100k,24027_new_per100k,24033_new_per100k,24017_new_per100k,24021_new_per100k,24001_new_per100k,24005_new_per100k,24047_new_per100k,24003_new_per100k,24043_new_per100k,24009_new_per100k,24025_new_per100k,24015_new_per100k,24045_new_per100k,24023_new_per100k,24019_new_per100k,24011_new_per100k,24039_new_per100k,24041_new_per100k,24035_new_per100k,24029_new_per100k,day
46,56,3/18/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
47,57,3/19/20,0.0,0.0,0.0,0.0,0.0,0.10997144041692372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10997144041692372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
48,58,3/20/20,0.0,0.0,0.0,0.0,0.0,0.10997144041692372,0.0,0.0,0.0,0.12086490929088557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12086490929088557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
49,59,3/21/20,0.0,0.0,0.0,0.0,0.0,0.10997144041692372,0.0,0.0,0.0,0.12086490929088557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
50,60,3/22/20,0.0951757324724371,0.0,0.0,0.0,0.0,0.10997144041692372,0.0,0.0,0.0,0.12086490929088557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0951757324724371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
51,61,3/23/20,0.0951757324724371,0.0,0.0,0.0,0.0,0.10997144041692372,0.0,0.0,0.0,0.12086490929088557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
52,62,3/24/20,0.0951757324724371,0.0,0.0,0.0,0.0,0.21994288083384744,0.0,0.0,0.0,0.12086490929088557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10997144041692372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
53,63,3/25/20,0.0951757324724371,0.0,0.0,0.0,0.0,0.21994288083384744,0.0,0.0,0.0,0.12086490929088557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
54,64,3/26/20,0.0951757324724371,0.0,0.0,0.0,0.0,0.21994288083384744,0.0,0.0,0.0,0.12086490929088557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
55,65,3/27/20,0.0951757324724371,0.0,0.0,0.0,0.0,0.21994288083384744,0.0,0.0,0.0,0.12086490929088557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
